timestamp,sourcetype,from,to,subject,url_in_body,attachment,message_id,sender_ip,verdict
2025-10-06T06:40:44Z,email:logs,no-reply20@spoofed-bank.com,user20@victimcorp.com,Invoice #3492 attached — immediate action required,http://verify-payments.example.net/login,invoice.pdf,<637688.phish@example.com>,198.51.208.37,phishing
2025-10-06T06:33:44Z,email:logs,bob@example.com,user15@victimcorp.com,Lunch plans,https://www.dropbox.com/s/real-file,,<576566.normal@example.com>,203.0.27.151,benign
2025-10-06T06:26:44Z,email:logs,bob@example.com,user4@victimcorp.com,Team meeting notes,https://www.dropbox.com/s/real-file,report.docx,<717961.normal@example.com>,203.0.61.253,benign
2025-10-06T06:19:44Z,email:logs,alice@example.com,user1@victimcorp.com,Weekly report,https://accounts.google.com,report.docx,<113490.normal@example.com>,203.0.205.100,benign
2025-10-06T06:12:44Z,email:logs,alice@example.com,user20@victimcorp.com,Lunch plans,https://company.internal/docs,,<980645.normal@example.com>,203.0.219.134,benign
2025-10-06T06:05:44Z,email:logs,bob@example.com,user17@victimcorp.com,Weekly report,https://www.dropbox.com/s/real-file,inv_2025.pdf,<236906.normal@example.com>,203.0.69.57,benign
2025-10-06T05:58:44Z,email:logs,no-reply1@spoofed-bank.com,user1@victimcorp.com,Payment failed — update billing info,http://free-gift.example.info,,<106206.phish@example.com>,198.51.74.227,phishing
2025-10-06T05:51:44Z,email:logs,bob@example.com,user13@victimcorp.com,Team meeting notes,,inv_2025.pdf,<556088.normal@example.com>,203.0.26.5,benign
2025-10-06T05:44:44Z,email:logs,alice@example.com,user13@victimcorp.com,Lunch plans,https://www.dropbox.com/s/real-file,report.docx,<407870.normal@example.com>,203.0.113.217,benign
2025-10-06T05:37:44Z,email:logs,carol@example.com,user17@victimcorp.com,Invoice from ACME Corp,,,<664425.normal@example.com>,203.0.71.15,benign
2025-10-06T05:30:44Z,email:logs,bob@example.com,user6@victimcorp.com,Lunch plans,https://www.dropbox.com/s/real-file,,<168901.normal@example.com>,203.0.38.140,benign
2025-10-06T05:23:44Z,email:logs,alice@example.com,user15@victimcorp.com,Lunch plans,,inv_2025.pdf,<556118.normal@example.com>,203.0.43.30,benign
